@relation excitement
@attribute f13 NUMERIC
@attribute f14 NUMERIC
@attribute f15 NUMERIC
@attribute f16 NUMERIC
@attribute f17 NUMERIC
@attribute f18 NUMERIC
@attribute f55 NUMERIC
@attribute f56 NUMERIC
@attribute f57 NUMERIC
@attribute f58 NUMERIC
@attribute f59 NUMERIC
@attribute f60 NUMERIC
@attribute f61 NUMERIC
@attribute f62 NUMERIC
@attribute f63 NUMERIC
@attribute f64 NUMERIC
@attribute f65 NUMERIC
@attribute f66 NUMERIC
@attribute class { Positive, Negative}
@data
1.0,0.0,1.0,1.0,1.0,0.03278688524590164,0.6088992974238876,0.1525843982452794,1.0,0.2727272727272727,0.35,0.2131147540983606,0.5217391304347826,0.0,1.0,0.1818181818181818,0.08333333333333333,0.04347826086956522,Positive
0.5,0.0,0.5,0.5,1.0,0.02941176470588235,0.8823529411764706,0.5844155844155844,1.0,0.8,0.3333333333333333,0.2941176470588235,0.3043478260869565,0.0,1.0,0.2,0.1428571428571428,0.04347826086956522,Negative
0.625,0.046875,0.5,1.0,4.0,0.07142857142857142,0.6441558441558441,0.2667905268328101,1.0,0.5,0.3548387096774194,0.2285714285714286,0.4081632653061225,0.1307901907356948,1.0,0.3333333333333333,0.25,0.1020408163265306,Positive
?,?,?,?,0.0,0.0,1.0,1.5,1.0,1.0,0.4545454545454545,0.4545454545454545,?,?,?,?,0.0,0.0,Negative
0.75,0.0625,0.5,1.0,2.0,0.06818181818181818,1.151515151515151,1.234567901234568,1.0,1.0,0.375,0.4318181818181818,0.5454545454545454,0.1025641025641026,1.0,0.3333333333333333,0.25,0.1363636363636364,Positive
1.166666666666667,0.05555555555555556,1.0,1.5,3.0,0.09722222222222222,0.7051282051282052,1.121461698384775,1.0,1.0,0.4333333333333333,0.3055555555555556,0.7596899224806202,0.1837787154242851,1.0,0.5,0.2142857142857143,0.1627906976744186,Positive
1.0,0.0,1.0,1.0,4.0,0.07207207207207207,0.897039897039897,1.264628944048564,1.0,1.0,0.4117647058823529,0.3693693693693694,0.5161290322580645,0.0,2.0,0.25,0.25,0.1290322580645161,Positive
0.75,0.0625,0.5,1.0,2.0,0.03225806451612903,1.266862170087976,1.756991640815553,1.0,1.0,0.4074074074074074,0.5161290322580645,0.5,0.07608695652173914,1.0,0.25,0.1428571428571428,0.07142857142857142,Negative
0.8333333333333334,0.2222222222222222,0.5,1.5,3.0,0.07352941176470588,1.112299465240642,1.529060660076702,1.0,1.0,0.4230769230769231,0.4705882352941176,0.6451612903225806,0.3962848297213622,1.0,0.6,0.25,0.1612903225806452,Negative
1.5,0.3333333333333333,0.5,2.0,6.0,0.2686567164179104,0.9701492537313432,1.121991701244813,1.0,1.0,0.3076923076923077,0.2985074626865671,1.241379310344828,0.7649402390438248,1.0,0.8,0.5,0.6206896551724138,Positive
0.8333333333333334,0.2222222222222222,0.5,1.5,3.0,0.07692307692307693,0.9333333333333332,0.4974311358712472,1.0,0.5714285714285714,0.4285714285714285,0.4,0.6372549019607844,0.2563519150549868,1.0,0.4285714285714285,0.2307692307692308,0.1470588235294118,Negative
0.875,0.171875,0.5,1.5,4.0,0.09859154929577464,1.140845070422535,1.334952229299363,1.0,0.7777777777777778,0.2962962962962963,0.3380281690140845,0.65625,0.162828947368421,1.0,0.3333333333333333,0.2666666666666667,0.175,Negative
